twit,HS,Abusive,HSIndividual,HSGroup,HSReligion,HSRace,HSPhysical,HSGender,HSOther,HSWeak,HSModerate,HSStrong
 di saat semua cowok berusaha melacak perhatian gue. kamu lantas remehkan perhatian yang gue kasih khusus ke kamu. basic kamu cowok bego   	1	1	1	0	0	0	0	0	1	1	0	0
RT pengguna pengguna siapa yang telat memberi tau kamuedan sarap gue bergaul dengan cigax jifla calis sama siapa itu licew juga	0	1	0	0	0	0	0	0	0	0	0	0
41. Kadang aku berpikir, kenapa aku tetap percaya pada Tuhan padahal aku selalu jatuh berkalikali. Kadang aku merasa Tuhan itu meninggalkan aku sendirian. Ketika orang tuaku berencana berpisah, ketika kakakku lebih memilih jadi Kristen. Ketika aku anak ter	0	0	0	0	0	0	0	0	0	0	0	0
pengguna pengguna AKU ITU AKU ku TAU MATAMU SIPIT TAPI dilihat DARI MANA ITU AKU	0	0	0	0	0	0	0	0	0	0	0	0
pengguna pengguna Kaum cebong kafir sudah kelihatan dongoknya dari awal tambah dungu lagi haha	1	1	0	1	1	0	0	0	0	0	1	0
pengguna Ya bani taplak dan kawan kawan 	1	1	0	1	0	0	0	0	1	0	1	0
deklarasi pilihan kepala daerah 2018 aman dan anti hoaks warga dukuh sari jabon	0	0	0	0	0	0	0	0	0	0	0	0
Gue baru saja selesai rewatch Aldnoah Zero paling kampret memang akhirnya 2 karakter utama cowoknya kena friendzone bro XD uniform resource locator	0	1	0	0	0	0	0	0	0	0	0	0
Nah admin belanja satu lagi port terbaik nak makan Ais Kepal Milo, Ais Kepal Horlicks atau Cendol Toping kau kau.   Doket mana itu  Gerai rozak Mertuaku  Taipan 2 depan kembar BABY amp ROMANTIKA  Bank Islam Senawang 	0	0	0	0	0	0	0	0	0	0	0	0
pengguna Enak lagi kalau sambil ngewe	0	1	0	0	0	0	0	0	0	0	0	0
Setidaknya gue punya jari tengah buat kamu, sebelum gue ukur nyali sama bacot kamu 	1	1	1	0	0	0	0	0	1	1	0	0
pengguna pengguna pengguna pengguna BANCI KALENG MALU tidak BISA JAWAB PERTANYAAN KAMI DARI 2 HARI LALU.... NYUNGSEP KOE pengguna uniform resource locator	1	1	1	0	0	0	0	1	0	1	0	0
kalau belajar ekonomi mestinya jago memprivatisasi hati orang. aduh.. ironi pengguna	0	0	0	0	0	0	0	0	0	0	0	0
Aktor huru hara 98 Prabowo si ingin lengserkan pemerintahan Jokowi.... Nyata	1	0	1	0	0	0	0	0	1	1	0	0
pengguna Bu guru enakan jadi jablay atau guru sekolah dasar sih.aknya menikmati jadi pecun ini guru.	1	1	1	0	0	0	0	1	0	1	0	0
pengguna pengguna pengguna pengguna pengguna pengguna Lawan bicara gue tidak intelek kayak kamu, yang otak tidak punya. tentang kencing onta, gue mengakui hadis nabi dan itu sahih. Kafir kayak kamu pasti menolak, makanya kamu ahlun nar.	1	1	1	0	1	0	0	0	0	1	0	0
Belakangan ini kok pikiran ampas banget ya	0	0	0	0	0	0	0	0	0	0	0	0
Ari sama beki adalah rapi monyet	0	1	0	0	0	0	0	0	0	0	0	0
Jadi cowok itu harus Gantle kalau tidak Gantle itu namanya BANCI 	1	1	0	1	0	0	0	1	0	0	1	0
pengguna alga mnr bom 	0	0	0	0	0	0	0	0	0	0	0	0
anjing ya tapi gue jarang mengambek, takut wkwk gue kan budak cinta.	0	1	0	0	0	0	0	0	0	0	0	0
pengguna kalau kamu noob pasti peluang disakiti nya lebih gede sih	0	0	0	0	0	0	0	0	0	0	0	0
pengguna Joko Widodo dinilai sebagai presiden terlemah dalam sejarah Indonesia. Hal ini terjadi bukan saja karena Jokowi tidak memiliki modal dukungan politik yang cukup, melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi tidak	0	0	0	0	0	0	0	0	0	0	0	0
PELAJAR sama kecamatan BILAH HILIR DEKLARASI ANTI hoaks amp pilihan kepala daerah 2018 DAMAI	0	0	0	0	0	0	0	0	0	0	0	0
Bandara Udara Internasional Kertajati dibangun oleh Gubernur Ahmad Heryawan tanpa gunakan anggaran pendapatan dan belanja negara pemerintah pusat. Insya Allah siap beroperasi bulan depan	0	0	0	0	0	0	0	0	0	0	0	0
Siapapun gubernur dan presidennya, rakyatnya, ya kita juga...	0	0	0	0	0	0	0	0	0	0	0	0
Ini sih pengguna kerjaannya delay mulu Setan	1	1	0	1	0	0	0	0	1	0	1	0
menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modus banget	0	0	0	0	0	0	0	0	0	0	0	0
RT pengguna pengguna pengguna partai komunis indonesia hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden karena digoreng sampai gosong.	1	0	0	1	0	1	0	0	0	0	1	0
pengguna pengguna Itu adalah sudah neneknenek saya heran sama cebong biasanya bohong terus	1	1	1	0	0	0	0	0	1	1	0	0
pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna Islam Nusantara produk JIL, dipasarkan dengan gencar oleh antek JIL. entara JIL anti Arab, tapi pro asing a almarhum KH. Hasyim Muzadi,	1	0	0	1	1	0	0	0	0	0	1	0
Dari habis sahur sampai jam 10. si bayi sudah nete empat kali. sekarang rasanya lemas tak terkira 	0	0	0	0	0	0	0	0	0	0	0	0
pengguna tidak kak emak adalah tidak suka sama yang sipit wkwk	0	0	0	0	0	0	0	0	0	0	0	0
RT pengguna Kelakuan homo jaman now, ngentot saja sambil live di Blued #gay video #gvid #lokal hangat uniform resource locator	0	1	0	0	0	0	0	0	0	0	0	0
pengguna tidak kak, gue bukan orang jawa maaf ya   gue orang palembang soalnya, kakak saja deh yang belajar aksara jawa. Atau kelak mau belajar budaya palembang	0	0	0	0	0	0	0	0	0	0	0	0
Pegawai Guardian training lagi kayak mentang mentang gue kayak gembel cuma kaos sama Flat shoes bertanya dijutekin bangsat memang malas belinya juga kabur gue ke matahari	1	1	0	1	0	0	0	0	1	0	1	0
Para Bajingan yang telah melukai Lady harus menerima ganjaran seratus kali lipatsanji ##selamat ulang tahun pelaut jkt48	0	1	0	0	0	0	0	0	0	0	0	0
ajakan menolak berita hoaks dan sukseskan pilihan kepala daerah di wilayah kota kediri	0	0	0	0	0	0	0	0	0	0	0	0
pengguna pengguna Presiden RI Jokowi luar biasa kerja nya tulus ikhlas untuk #rakyat bersama jokowi	0	0	0	0	0	0	0	0	0	0	0	0
Edan memang tujuannya fabiano	0	1	0	0	0	0	0	0	0	0	0	0
tidak pernah MENDALAMI ALalquran YA BANG pantas saja MULUTNYA kayak ORANG KAFIR BEJAT HINA farhat abbas law	1	1	1	0	1	0	1	0	0	1	0	0
Sangat terlihat beda sekali Kewibawaannya , yang sangat berwibawa cuma gubernur Indonesia pengguna  masya Allah...	0	0	0	0	0	0	0	0	0	0	0	0
Anjir baru kali ini lihat orang bego mau debat pilihan kepala daerah. Kerjanya menyerang karakter. kecewa on kamu empok silvy and agus. #debat final pemilihan kepala daerah jakarta	1	1	0	1	0	0	0	0	1	0	1	0
#gubernur zaman now #gus ipul puti 2 #ganjar yasin 1 #djarot sihar 2 #hasan anton 2 #koster ace 1 #nurdin sudirman 3 #karolin gidot 2 RT pengguna Keanekaragaman budaya, suku, agama, itulah sesungguhnya kekayaan kita, tutur Djarot di hadapan peserta rapat kerja cabang khusus	0	0	0	0	0	0	0	0	0	0	0	0
pengguna pengguna Apa iya Islam itu tidak boleh di lokalisasi lah Kristen saja mas ada Nusantaranya mas, lihat saja di Gereja di bandung ada yang pakai gamelan dan ada yang khotbah pakai bahas SundaJawa, ada huria kristen batak protestan juga kurang Nusantara apa	0	0	0	0	0	0	0	0	0	0	0	0
Ciptakan Situasi keamanan dan ketertiban masyarakat Menjelang pilihan kepala daerah 2018, kepala kepolisian sektor Konang Silaturahmi ke Tokoh Masyarakat	0	0	0	0	0	0	0	0	0	0	0	0
pengguna pengguna positif kok.positif respon masyarakat terhadap  CANGKUL impor  GARAM impor  BERAS impor  JAGUNG impor  TENAGA KERJA impor  ESEMKA impor L	0	0	0	0	0	0	0	0	0	0	0	0
pengguna pengguna pengguna pengguna Kata Sembahyang mengadopsi tradisi lokal pada masa pekerjaan Hindu. ilahsembahyangpun lahir dari tradisi ritusmenyembahHyang Yang Tunggal, sama denganshalat menyembah All	0	0	0	0	0	0	0	0	0	0	0	0
kamu pendidikan TINGGI TAPI BODOH....tidak ADA LARANG BAWA AGAMA..BIAR ORANG ISLAM yang DI BAYAR AHOK SADAR tidak JADI memilih AHOK gila	1	1	1	0	0	0	0	0	1	1	0	0
pengguna pengguna ahok the best ,,,abaikan kaum kampret otak micin ,,,	1	1	0	1	0	0	0	0	1	0	1	0
pengguna pengguna , sih otak tempurung adalah tidak usah di meladeni. semakin di lawan semakin belum dan Dungu. Dan kalau tidak begitu dia tidak makan. hehe	1	1	1	0	0	0	0	0	1	1	0	0
pengguna Awaasss... jangan sampai beritanya sampai ke saudara gerung nanti susah mencari kosakatanya. kalau bocor saja memicing mata, bibir monyong kesamping, suara keluar ky lagi nhn kentut.. politik kotor sekali zaman ini. kalau tahu brt ini.. pulang Sambil ky nhn ngeden..dungu. 	1	1	1	0	0	0	1	0	0	1	0	0
pinokio umur 3 tahunan itu. #2019 ganti presiden	1	0	1	0	0	0	0	0	1	1	0	0
pengguna Cerita silat lae  semacam Kho merah muda oh yang dari Indonesia, tapi Liang Ie Shen penulis dari cina	0	0	0	0	0	0	0	0	0	0	0	0
RT pengguna benci sekali dengan Umat Islam	1	0	0	1	1	0	0	0	0	0	1	0
